ts,sea,slot_a,rank_a,slot_p,rank_p
2015-03-08,Orientale,00:00-11:59,[C20;null;null],12:00-23:59,[C20;D20;null]
2015-03-08,Occidentale,00:00-11:59,[null;null;null],12:00-23:59,[D1;null;null]
2015-03-15,Occidentale,00:00-11:59,[D1;null;null],12:00-23:59,[D1;C1;null]
2015-03-15,Orientale,00:00-11:59,[C20;D20;G33],12:00-23:59,[B18;G33;null]
2015-03-22,Occidentale,00:00-11:59,[D1;null;null],12:00-23:59,[D1;null;null]
2015-03-22,Orientale,00:00-11:59,[C20;D20;D19],12:00-23:59,[C20;G33;C19]
2015-03-29,Occidentale,00:00-11:59,[D1;null;null],12:00-23:59,[D1;D2;null]
2015-03-29,Orientale,00:00-11:59,[C20;C31;B30],12:00-23:59,[C20;A28;D20]
2015-04-05,Occidentale,00:00-11:59,[D1;D2;F9],12:00-23:59,[D1;D2;F12]
2015-04-05,Orientale,00:00-11:59,[C20;D20;B20],12:00-23:59,[C20;D20;B20]
2015-04-12,Orientale,00:00-11:59,[C20;D20;G33],12:00-23:59,[C20;D20;G33]
2015-04-12,Occidentale,00:00-11:59,[F9;D1;F8],12:00-23:59,[F9;D1;F8]
2015-04-19,Orientale,00:00-11:59,[C20;G33;D20],12:00-23:59,[C20;G33;D20]
2015-04-19,Occidentale,00:00-11:59,[F9;D1;C1],12:00-23:59,[F9;D1;I16]
2015-04-26,Occidentale,00:00-11:59,[F9;J14;F8],12:00-23:59,[H8;J14;F9]
2015-04-26,Orientale,00:00-11:59,[C20;G33;D20],12:00-23:59,[C20;G33;D20]
2015-05-03,Occidentale,00:00-11:59,[F9;F8;H8],12:00-23:59,[H8;F8;J14]
2015-05-03,Orientale,00:00-11:59,[C20;G33;D20],12:00-23:59,[C20;G33;D20]
2015-05-10,Occidentale,00:00-11:59,[F9;F8;H8],12:00-23:59,[H8;F6;F8]
2015-05-10,Orientale,00:00-11:59,[C20;G33;D20],12:00-23:59,[G33;C20;D20]
